Date/Time       	Load	VER	Hydro	Fossil/Biomass	Nuclear
09/15/2022 00:00	4974	1126	4160	1131	1140
09/15/2022 00:05	4977	1119	4334	1127	1135
09/15/2022 00:10	4929	1110	4282	1123	1133
09/15/2022 00:15	4873	1096	4267	1122	1139
09/15/2022 00:20	4889	1092	4273	1122	1140
09/15/2022 00:25	4870	1102	4258	1119	1133
09/15/2022 00:30	4895	1101	4268	1124	1134
09/15/2022 00:35	4870	1111	4264	1119	1139
09/15/2022 00:40	4838	1128	4252	1120	1139
09/15/2022 00:45	4748	1123	4177	1117	1133
09/15/2022 00:50	4824	1105	4189	1120	1139
09/15/2022 00:55	4832	1088	4276	1122	1139
09/15/2022 01:00	4800	1091	4262	1122	1139
09/15/2022 01:05	4735	1088	4109	1121	1139
09/15/2022 01:10	4717	1082	4101	1122	1140
09/15/2022 01:15	4773	1075	4077	1121	1140
09/15/2022 01:20	4755	1070	4079	1120	1140
09/15/2022 01:25	4777	1059	4064	1118	1134
09/15/2022 01:30	4788	1067	4059	1122	1141
09/15/2022 01:35	4685	1033	4048	1120	1141
09/15/2022 01:40	4651	1007	4034	1120	1135
09/15/2022 01:45	4708	998	4045	1122	1140
09/15/2022 01:50	4716	990	4044	1119	1139
09/15/2022 01:55	4715	983	4084	1119	1141
09/15/2022 02:00	4710	949	4024	1122	1142
09/15/2022 02:05	4700	940	4052	1124	1143
09/15/2022 02:10	4725	903	4036	1123	1142
09/15/2022 02:15	4679	866	4043	1125	1140
09/15/2022 02:20	4607	846	4003	1121	1140
09/15/2022 02:25	4607	844	4002	1121	1140
09/15/2022 02:30	4629	826	3976	1123	1142
09/15/2022 02:35	4651	810	4031	1126	1140
09/15/2022 02:40	4656	822	4006	1125	1140
09/15/2022 02:45	4662	836	4012	1126	1138
09/15/2022 02:50	4664	853	4015	1122	1140
09/15/2022 02:55	4601	845	4011	1122	1140
09/15/2022 03:00	4631	840	4043	1126	1142
09/15/2022 03:05	4679	834	4051	1127	1140
09/15/2022 03:10	4555	845	3990	1123	1142
09/15/2022 03:15	4650	862	3978	1126	1141
09/15/2022 03:20	4625	867	4006	1124	1140
09/15/2022 03:25	4589	875	4009	1125	1143
09/15/2022 03:30	4652	862	4004	1126	1142
09/15/2022 03:35	4585	865	3977	1126	1143
09/15/2022 03:40	4613	840	3998	1126	1141
09/15/2022 03:45	4659	815	4007	1124	1141
09/15/2022 03:50	4646	795	4017	1126	1143
09/15/2022 03:55	4650	790	4028	1122	1143
09/15/2022 04:00	4585	800	4085	1124	1137
09/15/2022 04:05	4636	799	4114	1127	1143
09/15/2022 04:10	4608	794	4167	1126	1140
09/15/2022 04:15	4638	810	4167	1123	1143
09/15/2022 04:20	4624	807	4170	1124	1140
09/15/2022 04:25	4659	819	4153	1125	1142
09/15/2022 04:30	4677	814	4134	1123	1143
09/15/2022 04:35	4687	819	4135	1123	1142
09/15/2022 04:40	4688	811	4163	1126	1142
09/15/2022 04:45	4749	793	4163	1124	1143
09/15/2022 04:50	4788	790	4212	1123	1143
09/15/2022 04:55	4823	795	4228	1132	1143
09/15/2022 05:00	4836	790	4352	1150	1142
09/15/2022 05:05	4916	783	4513	1157	1142
09/15/2022 05:10	4969	789	4636	1169	1144
09/15/2022 05:15	5004	794	4709	1176	1145
09/15/2022 05:20	5008	815	4666	1185	1143
09/15/2022 05:25	4978	821	4705	1182	1139
09/15/2022 05:30	5079	826	4709	1179	1144
09/15/2022 05:35	5069	830	4733	1176	1144
09/15/2022 05:40	5123	806	4689	1172	1142
09/15/2022 05:45	5128	805	4762	1175	1143
09/15/2022 05:50	5166	802	4736	1175	1143
09/15/2022 05:55	5216	797	4728	1186	1143
09/15/2022 06:00	5233	794	4787	1205	1139
09/15/2022 06:05	5303	784	4976	1214	1143
09/15/2022 06:10	5303	773	5084	1216	1143
09/15/2022 06:15	5316	750	5023	1217	1143
09/15/2022 06:20	5434	732	4984	1215	1146
09/15/2022 06:25	5425	719	5045	1217	1144
09/15/2022 06:30	5424	718	4999	1220	1138
09/15/2022 06:35	5534	701	5026	1221	1142
09/15/2022 06:40	5496	698	5002	1218	1143
09/15/2022 06:45	5544	685	5022	1217	1143
09/15/2022 06:50	5568	674	5063	1216	1143
09/15/2022 06:55	5585	665	5125	1213	1143
09/15/2022 07:00	5632	655	5173	1214	1142
09/15/2022 07:05	5603	639	5283	1211	1144
09/15/2022 07:10	5597	630	5320	1211	1144
09/15/2022 07:15	5675	625	5316	1213	1139
09/15/2022 07:20	5712	614	5333	1215	1144
09/15/2022 07:25	5646	604	5342	1211	1143
09/15/2022 07:30	5715	606	5338	1216	1136
09/15/2022 07:35	5703	592	5271	1212	1143
09/15/2022 07:40	5725	572	5305	1211	1143
09/15/2022 07:45	5741	573	5326	1210	1142
09/15/2022 07:50	5633	563	5259	1212	1143
09/15/2022 07:55	5653	547	5280	1212	1142
09/15/2022 08:00	5657	523	5344	1207	1140
09/15/2022 08:05	5743	524	5435	1216	1141
09/15/2022 08:10	5672	512	5442	1214	1140
09/15/2022 08:15	5753	512	5453	1212	1140
09/15/2022 08:20	5678	507	5436	1215	1142
09/15/2022 08:25	5766	500	5439	1213	1137
09/15/2022 08:30	5766	497	5439	1213	1142
09/15/2022 08:35	5797	505	5381	1213	1139
09/15/2022 08:40	5793	507	5408	1209	1142
09/15/2022 08:45	5738	534	5364	1213	1140
09/15/2022 08:50	5714	546	5336	1208	1140
09/15/2022 08:55	5766	584	5256	1212	1141
09/15/2022 09:00	5748	611	5088	1213	1140
09/15/2022 09:05	5749	634	5036	1208	1141
09/15/2022 09:10	5769	662	5035	1209	1141
09/15/2022 09:15	5807	677	5011	1210	1139
09/15/2022 09:20	5798	708	4939	1207	1140
09/15/2022 09:25	5781	747	4930	1201	1140
09/15/2022 09:30	5798	785	4971	1205	1134
09/15/2022 09:35	5760	795	5004	1203	1137
09/15/2022 09:40	5787	808	5005	1206	1138
09/15/2022 09:45	5791	810	5011	1207	1138
09/15/2022 09:50	5812	825	5087	1206	1138
09/15/2022 09:55	5895	820	5188	1205	1137
09/15/2022 10:00	5895	829	5298	1205	1137
09/15/2022 10:05	5799	834	5273	1202	1137
09/15/2022 10:10	5894	831	5317	1205	1138
09/15/2022 10:15	5924	813	5326	1211	1137
09/15/2022 10:20	5919	788	5354	1210	1138
09/15/2022 10:25	5870	757	5361	1211	1136
09/15/2022 10:30	5923	714	5365	1213	1134
09/15/2022 10:35	5867	719	5268	1212	1137
09/15/2022 10:40	5939	706	5303	1211	1136
09/15/2022 10:45	5955	703	5334	1213	1135
09/15/2022 10:50	5928	681	5354	1214	1135
09/15/2022 10:55	5903	667	5323	1208	1136
09/15/2022 11:00	5918	669	5303	1210	1134
09/15/2022 11:05	5931	650	5351	1211	1137
09/15/2022 11:10	5959	643	5395	1211	1136
09/15/2022 11:15	5945	661	5400	1212	1130
09/15/2022 11:20	5858	667	5343	1215	1137
09/15/2022 11:25	5955	643	5422	1210	1134
09/15/2022 11:30	5894	632	5521	1213	1133
09/15/2022 11:35	5963	607	5474	1212	1134
09/15/2022 11:40	5907	616	5428	1210	1135
09/15/2022 11:45	5961	614	5406	1207	1131
09/15/2022 11:50	5963	627	5435	1211	1132
09/15/2022 11:55	5990	653	5366	1213	1134
09/15/2022 12:00	5998	629	5347	1217	1135
09/15/2022 12:05	5936	643	5431	1217	1134
09/15/2022 12:10	5904	642	5454	1216	1132
09/15/2022 12:15	6026	625	5491	1214	1134
09/15/2022 12:20	6015	638	5490	1219	1133
09/15/2022 12:25	5934	619	5566	1215	1134
09/15/2022 12:30	5993	606	5530	1214	1132
09/15/2022 12:35	6010	586	5573	1216	1131
09/15/2022 12:40	6015	613	5617	1213	1131
09/15/2022 12:45	6039	611	5614	1209	1134
09/15/2022 12:50	6050	613	5603	1210	1132
09/15/2022 12:55	5958	592	5526	1215	1131
09/15/2022 13:00	6013	590	5509	1213	1131
09/15/2022 13:05	6019	595	5531	1211	1131
09/15/2022 13:10	6056	582	5546	1211	1132
09/15/2022 13:15	5977	618	5535	1210	1134
09/15/2022 13:20	6048	611	5551	1208	1130
09/15/2022 13:25	6069	645	5537	1208	1132
09/15/2022 13:30	6078	635	5584	1213	1131
09/15/2022 13:35	6068	616	5533	1214	1133
09/15/2022 13:40	6001	651	5523	1216	1132
09/15/2022 13:45	5976	620	5541	1217	1132
09/15/2022 13:50	6050	618	5566	1213	1132
09/15/2022 13:55	6087	655	5541	1210	1131
09/15/2022 14:00	6076	677	5571	1212	1132
09/15/2022 14:05	6082	657	5614	1206	1131
09/15/2022 14:10	6073	646	5606	1206	1131
09/15/2022 14:15	6080	651	5644	1212	1127
09/15/2022 14:20	6114	661	5625	1210	1132
09/15/2022 14:25	6082	612	5612	1212	1130
09/15/2022 14:30	6000	630	5622	1209	1129
09/15/2022 14:35	6065	627	5611	1212	1132
09/15/2022 14:40	6073	609	5628	1207	1131
09/15/2022 14:45	6084	589	5645	1205	1132
09/15/2022 14:50	5988	593	5656	1207	1131
09/15/2022 14:55	6046	583	5656	1203	1132
09/15/2022 15:00	6102	594	5674	1208	1130
09/15/2022 15:05	6091	602	5698	1202	1130
09/15/2022 15:10	6121	618	5726	1204	1132
09/15/2022 15:15	6049	594	5776	1205	1132
09/15/2022 15:20	6038	614	5765	1203	1132
09/15/2022 15:25	6106	626	5757	1203	1131
09/15/2022 15:30	6095	659	5717	1200	1131
09/15/2022 15:35	6074	641	5658	1203	1131
09/15/2022 15:40	6026	670	5647	1205	1126
09/15/2022 15:45	6120	678	5651	1201	1133
09/15/2022 15:50	6104	684	5665	1201	1131
09/15/2022 15:55	6165	694	5766	1197	1130
09/15/2022 16:00	6150	714	5970	1201	1131
